"drag-rfile"
"Iteration" "drag"
("Iteration" "drag")
10 0.5863227175550404
20 0.5525860867799021
30 0.3860226210467597
40 0.3686451364595921
50 0.3521243742581163
60 0.3449005756509225
70 0.3419857522945483
80 0.3407320967425946
90 0.3400658823867712
100 0.3397450437166477
110 0.3396088099427568
120 0.3395501160770207
130 0.3395206892189092
140 0.3394997854075707
150 0.3394823020837759
160 0.3394703348434027
170 0.3394618532719716
180 0.3394552685898459
190 0.3394500402060027
200 0.339446069906208
210 0.3394434413666224
220 0.3394417536821375
230 0.3394405813847844
240 0.3394398763052374
250 0.3394394123581654
